Brand,Name,Product,Review,Grade
MAKEUP GEEK,GRUNGE,Eyeshadow,"a dark, taupe-brown with neutral-to-warm undertones and a matte finish. The consistency was dusty and a little thin, but it had opaque pigmentation that applied well and blended out without too much work, though it was a bit patchy initially. It stayed on well for seven and a half hours before fading noticeably.

This shade will be available August 23rd.",B
MAKEUP GEEK,HAYRIDE,Eyeshadow,"a light brown with warm, yellow undertones and a matte finish. The texture was slightly powdery in the pan, but it managed to yield semi-opaque, buildable coverage. It worked best as a blending/transition shade or brow bone color than an all-over the lid shade, though, as it tended to sheer out a bit in practice. The color wore well for seven hours on me before it faded to my eye.

This shade will be available August 23rd.",B
PAT MCGRATH,GUINEVERE,Lipstick,"a deep red with warm undertones and a satin finish. The color coverage was opaque in one layer (if it was possible to apply half of a layer, that might be all one really needed!), and the color applied evenly and smoothly without settling in my lip lines. It had a smooth, velvety consistency that was creamy without being slippery or �wet.� This particular shade seemed to camouflage my natural texture as well. On me, the lipstick stayed on well for seven hours, left a faint stain behind, and was hydrating while worn.
",A+
PAT MCGRATH,DEEP ORCHID,Lipstick,"a muted, medium-dark berry with subtle, cool undertones and a cream finish. The pigmentation was nearly opaque, as it didn�t seem to apply quite as well along the inner area of my lips (was slightly under full coverage whereas other areas seemed fully covered). The consistency felt lightweight despite having a thicker feel to it, and the lipstick was creamy enough to glide on without tugging but not so much that it felt slippery while worn. It was comfortable to wear over the seven hours it lasted for, and it felt lightly moisturizing while I wore it.",A
TOO FACED,MARCIA MARCIA MARCIA,Lipstick,"a vibrant, medium fuchsia pink with cool, bluish undertones and iridescent sparkle and shimmer. It seemed like a mix of pink, teal, and fuchsia sparkly bits that caught the light and reflected it back with a high-shine finish and lots of sparkle. It had semi-opaque pigmentation that applied evenly and didn�t emphasize my lip lines. The consistency was smooth, creamy without being heavy and had moderate slip, which made it comfortable to wear, though it didn�t seem too slippery (but definitely didn�t grip as much as the average lipstick). It wore well for five hours and left a faint stain behind and was hydrating over time.",A-
TOO FACED,PIXIE STICK,Lipstick,"a rich purple with warm, pink undertones and purple, violet, and bluish sparkle and glitter. It had semi-opaque pigmentation that applied fairly evenly, but there was a bit of product that sunk into my lip lines. I did not find it noticeable in person due to the shinier finish and how much the sparkles/glitters caught the light. It had a smooth, lightweight consistency with moderate slip, which helped it spread easily across my lips and feel comfortable to wear. This shade stayed on well for five hours, left a soft pinkish stain behind, and was moisturizing while worn.",B+
NATASHA DENONA,CAMEL,Palette,"a new, neutral palette that features three matte finishes and two shimmery shades. It�s a warmer-toned palette, though it had more muted, yellow undertones across the mattes that made it less typical. Frankly, the tones seemed exactly like what I�d expect to see from palette called �camel!� The five shades worked well together, and I felt like it was easy to get a very diffused and blended crease/transition area with the gradient of mattes. The two shimmers are quite different, so they can create their own gradient by blending the two together. The only �downside� to the palette was that Dune was described as sheer and wasn�t, so that was why the rating dropped.",A-
WET 'N' WILD,FIRE,Highlighter,"a light-medium copper with warm, orange undertones and a luminous sheen. The consistency was soft, drier to the touch with some dustiness in the pan, but it applied beautifully to bare skin with even application, good adherence, and diffused with ease along the edges for a seamless glow. The effect was particularly �lit-from-within� (as the brand promised) as the powder seemed to �melt� on my skin. It wore well for eight hours on me before fading slightly.",A
FENTY BEAUTY,DIAMOND BALL-OUT,Highlighter,"a brilliant, medium-dark silver with a sparkling, metallic sheen. Applied more as an eyeshadow, it took on a mid-tone depth, as opposed to when it was sheered out, it looked lighter and brighter�but it was still noticeably silver. The consistency was smooth, dense without being overly firm nor was it too thick, so it was easy to pick up just a smidgen of product on a fluffy, highlighting brush to apply a hint of product on cheekbones as a highlighter but could just as easily be applied with an eyeshadow brush for full color coverage on the lid. It was an incredibly reflective, high-shine highlighter on cheeks, and it blended out well on my skin. It wore well for eight and a half hours on me before it started to fade.

This is the brand�s first charity product; 100% of every purchase of this highlighter goes to the Clara Lionel Foundation, which is Rihanna�s non-profit that �funds education, health, and emergency response programs around the world.� I like that the brand has made the Killawatt formula friendly for cheeks and eyes, so for those who want to support the cause, it�s still conventionally �wearable� as a silver eyeshadow, but I tried to showcase it as more �wearable� as a highlighter�it�s all about what you pair it with, I think, and I recommend using a light hand and building up to the intensity and coverage level desired. I was surprised that it paired well with bronzer!",A
DOSE OF COLORS ,NUDE CHICA,Lipstick,"a medium-dark, muted pink with warm undertones and a flat, matte finish. The pigmentation was opaque in a single layer, while the liquid lipstick had a smooth, fluid, and thin texture that wasn�t watery, so it spread well across my lips but didn�t feel heavy or take too long to dry down. The color stayed on well for five and a half hours and was neither drying nor hydrating on me.
",A
DOSE OF COLORS ,PEACHII,Lipstick,"a medium-dark peach with warm undertones and a flat, matte finish. The color coverage was opaque in a single application and went on evenly. It had a lightweight, smooth texture that was thin but not watery, though it seemed to sit in my lip lines a bit more as it was drying down compared to other shades, so it looked a bit �cracked� when I smiled. It wore well for five hours and was non-drying.",A-
DIOR,BRONZE GLOW (004),Highlighter,"a medium peach with warm undertones and a golden sheen. (Or, if you prefer, a very light copper with a reddish undertone.) It had rich color coverage paired with a smooth, moderately dense texture that wasn�t too firmly pressed in the pan that it was stiff to work with or hard to pick up product with a brush. Instead, it wasn�t powdery but sat really well on my skin and yielded a luminous finish that was glowing but not emphasizing of my skin�s natural texture. The highlighter wore well for eight hours before fading slightly.",A
BAD HABIT,ARTISTRY,Palette,"a mix of soft and warm-toned neutrals with a few deeper, earth-toned/neutral-hued shades as well. There was a mix of mattes and shimmers with the shimmers being more frosted/less metallic. I was impressed by the overall quality of the shades and formulas, as they performed on par with most powder eyeshadow formulas. The formula used in this particular palette was soft, a little dusty, but they applied evenly, blended out well, and had good pigmentation for the most part. They lasted between seven and eight hours on their own and looked good after 12-hour wear over a primer.",A-
PAT MCGRATH,EXECUTIVE REALNESS,Lipstick,"a muted, medium-dark plum with subtle, warm undertones and a satin finish. The color coverage was fantastic�full coverage in a single layer�that applied evenly and smoothly without tugging or dragging on my lips. It had a velvety, lightly creamy texture that was thicker but not heavy or difficult to work with, and the color seemed to smooth out most of my lip lines. This shade lasted for over seven hours on me, left a moderate pinkish stain behind, and was lightly hydrating.",A+
PAT MCGRATH,EXTRAVAGANZA,Lipstick,"a deep magenta with cool, blue undertones and a cream finish. It had more shine than most of the MatteTrance shades, though it naturally wore down to a more matte finish within two hours of wear. The texture was lightweight, creamy, and smooth with a touch more slip compared to other shades in the same formula. It had opaque pigmentation that applied evenly and did not streak, but there was a bit of product that sat in my deeper lip lines, though it wasn�t noticeable from a normal viewing distance. It wore well for over seven hours, left a fuchsia stain behind, and was moisturizing while worn.",A
LAURA MERCIER ,PEACH,Blush,"a medium pink-coral with golden shimmer and a pearl finish. It had semi-sheer, buildable pigmentation (up to opaque coverage with three layers) that applied fairly evenly and blended out without too much effort. The consistency was smooth to the touch but firmer and thinner, which made it less ideal to work with, as it had a tendency to absorb natural oils on my skin (making it harder to blend out/appear patchy). It lasted for eight hours on me before fading noticeably.",B
MARC JACOBS BEAUTY,GLITZ ALRIGHT,Eyeliner,"a muted, medium plum with warmer, brownish undertones and a glittery finish. It had semi-sheer coverage, which was buildable to semi-opaque coverage with two to three layers (or, preferrably, applied in short, overlapping strokes). The texture was still smooth and creamy, but it just didn�t have the intensity and oomph of other shades. The wear was good, though, and came in at a solid 11 hours before it started to thin slightly.",B-
MARC JACOBS BEAUTY,GLAM JAM,Eyeliner,"a deep red with subtle, warm undertones and flecks of silver sparkle and fine pearl. It had opaque pigmentation with a creamy, smooth consistency that was easy to apply as it glided across my lash line without tugging. The color distributed evenly as I went�no need to layer�and didn�t feather or move around while it set. It lasted well for 12 hours with minimal fading, thinning, and I didn�t notice any fallout/migration.",A+
MARC JACOBS BEAUTY,GLITTERBUG,Eyeliner,"a deep brown with neutral-to-warm undertones and a fine sparkle. It did not seem to be particularly sparkly�wouldn�t have classified it as a Glam Glitter finish as compared to a shimmer finish, really�but it was richly pigmented and had a very creamy, almost slippery, texture that was easy to glide across my lash line for opaque, even color application in a single stroke. It wore beautifully for over 12 hours without fading or thinning on me.",A+
MAKEUP GEEK,BLUE MY MIND,Eyeshadow,"a rich, medium blue with cool undertones and a metallic sheen. The consistency was incredibly dense, slightly thick, and cream-like�a denser texture than most of their Foiled shades. It had opaque color coverage, and surprisingly, it applied well with a brush as well as fingertips, and it wasn�t a challenge to blend. It wore well for eight hours on me before creasing faintly.",A-
MAKEUP GEEK,LEAFING SO SOON,Eyeshadow,"a light green with warm, golden shimmer and a frosted finish. It had sheer coverage with a drier, dustier texture that was hard to work with. I could only salvage this shade by applying it with a dampened brush and using four to five layers, and it always seemed to look a bit faded/less shimmery within a few minutes of application. After the initial application, it started to be more noticeably faded at the seven-hour mark.",F
MAKEUP GEEK,PINK OF ME,Eyeshadow,"a medium pink with subtle, warm undertones and a frosted finish. It had good color coverage that was buildable to opaque coverage with two layers. The texture was drier and dusty in the pan with slight fallout during application. The eyeshadow stayed on well for seven and a half hours on me.",B
MAKEUP GEEK,SUMMER LOVIN,Eyeshadow,"a medium orange with warm undertones and a matte finish. It had semi-opaque, buildable pigmentation with a soft consistency that just a touch dusty in the pan, but it blended out well and did not sheer out too readily. This shade wore well for seven and a half hours on me before I noticed signs of fading.",B+
URBAN DECAY,NOISE,Lipstick,"a deep, fuchsia pink with cool undertones and a matte finish. It had buildable coverage from semi-sheer to full coverage in two to three layers. The texture felt clay-like in the pot�movable but not wet�and applied as a thin, more powder-like layer of product that clung noticeably but didn�t actually feel drying over time. This shade emphasized my lip texture slightly but from afar, it wasn�t noticeable. The color applied evenly and blended easily across my lips. It wore well for six hours, was non-drying, and did not seem to break down with water.",A-
URBAN DECAY,WAVELENGTH,Lipstick,"a medium purple with warm, pink undertones and a matte finish. It had buildable pigmentation that ranged from sheer to semi-opaque. The color applied fairly evenly, but the finish emphasized my lip lines and lip texture, which gave my lips a drier, slightly shriveled appearance. The product felt clay-like in the pot, where it was movable as a whole but did not feel wet or creamy. On my lips, it was more like a thin powder. It lasted for four and a half hours, and it did not seem to break down when I drank water.",B
DIOR,ROSE GLOW (005),Highlighter,"a medium pink with warmer undertones and a metallic sheen. Of the six shades that released, this had the strongest finish�definitely metallic�and while I didn�t feel it emphasized my skin�s natural texture, this would be the one I�d be wary of if you find highlighters are prone to that on your skin. The powder had a soft, smooth consistency that was dense without being stiff to work with, so I had no trouble picking product and getting opaque coverage in one layer, if I wanted, but the denser texture meant I could simply use a lighter touch and build up coverage if that was more desirable. It wore well for eight and a half hours on me before fading a touch.",A
TOO FACED,THEN AND NOW,Palette,"exactly what I�d expect from the brand to celebrate their 20th anniversary. From the types of colors to the finishes to the color scheme and to the packaging, it�s so on-brand that it really seemed fitting for this particular milestone. I thought the concept was interesting�taking their original 10 eyeshadows and then updating them�but what I�ll say about that is I think I�d rather have seen them update the original shades (better formulations, slight tweaks for a modern interpretation) and then pairing them with 10 shades worked with them. Instead, the palette offers a distorted mirror image of the original 10, and I felt like it made the palette a little less cohesive than it should be for having 22 shades (I was definitely longing for some more satin/matte, deeper shades).

Overall, the quality was better than expected; better than the average for Too Faced and their limited edition palettes compared to the last few years (though I�ve seen some improvement over the last year here). There are several glittery shades, which suffer from your typical glitter eyeshadow problems, like glitter not binding with the base, fallout (during and after application), and so on. If you�re someone who often users fingertips or dampened brushes (or a glitter adhesive), I suspect you�ll be just fine working with this palette. Also, the palette is rather over-sized, so keep that in mind for organization and traveling purposes, but it certainly contains a ton of product for your money.",B
MARC JACOBS BEAUTY,ICED,Eyeliner,"a silvery white with cool undertones and a pearl finish with faint silver sparkle on top. It wasn�t very glittery (not �packed� with glitter), though. The texture was lightly creamy, smooth, and comfortable to apply as it didn�t tug or drag on my lash line. This shade stayed on well for 11 hours on me before starting to thin noticeably on me.",A-
MARC JACOBS BEAUTY,ALL THAT GLITTERS,Eyeliner,"a light-medium gold with subtle, warm yellow undertones and a glittery finish. It had semi-opaque pigmentation with a lot of fine sparkle and glittery bits in it. The base seemed almost translucent, so it was harder to build up coverage to my eye, though it was noticeable on my lash line. The texture was smooth, creamy, and comfortable to apply in a single stroke across my skin. The glitter dispersed well as I drew the line, which was nice to see. It lasted well for 12 hours with minimal movement, fading, and glitter migration.",A-
MARC JACOBS BEAUTY,GLITZ BLITZ,Eyeliner,"a medium-dark copper with warm, rosy undertones and a metallic sheen. It had semi-sheer coverage with a smooth, lightly creamy texture that glided across nicely along my lash line without tugging. It was buildable to mostly opaque coverage with two to three layers. The eyeliner stayed on nicely for 11 hours before starting thin slightly.",B-
MARC JACOBS BEAUTY,GEMSTONED,Eyeliner,"a deep, blue-leaning teal with flecks of multi-colored pearl and larger gold and blue glitter. It was intensely pigmented with a smooth, creamy texture that skated across my skin with ease and delivered rich, even coverage that stayed on all day long. It had minimal fading after 12 hours of wear, even on my waterline, with no discernible fallout.
",A+
PAT MCGRATH,ELSON 2,Lipstick,"a bright, medium-dark orange-red with warm undertones and a semi-matte finish. The pigmentation was opaque in a single layer, which applied evenly and smoothly across my lips without tugging. The lipstick had a lightweight, velvety consistency that was comfortable to wear but adhered well, too. There was a smidgen of product in my deeper lip lines from the initial application, though it wasn�t noticeable from a normal viewing distance, and it seemed to smooth out as it wore down to a matte finish (within an hour). It stayed on well for seven hours and was lightly moisturizing while worn.",A
PAT MCGRATH,FORBIDDEN LOVE,Lipstick,"a medium-dark red with cooler undertones and a satin finish. It had nearly opaque pigmentation with a lightweight, creamy consistency that felt velvety and dense without being firm, so it applied without tugging on my lips but did not slide around while worn. I noticed that this particular shade had a bit more slip compared to most shades in the MatteTrance line, though. The lipstick stayed on well for eight hours and left a strong stain behind, while the formula was lightly hydrating over time.",A
DIOR,PINK GLOW (002),Highlighter,"a very light pink with warmer undertones and a metallic sheen. This shade had a slightly stronger sheen compared to others in the formula, though most can be used more sheerly for a less luminous finish or built up for greater shine. This highlighter was intensely pigmented with a smooth, blendable consistency that was firmly pressed in the pan, so there wasn�t any powderiness, but it yielded well to my brushes for good product pick up . The powder applied evenly to bare skin and blended out with almost no effort at all and didn�t seem to accentuate my skin�s natural texture. The color lasted well for eight and a half hours on me before it started to fade a bit.",A
DOSE OF COLORS ,AESTHETIC,Lipstick,"a rich, medium-dark copper with warm, red undertones and a matte finish. The consistency was smooth, fluid without being runny, and spread easily across my lips for even application that didn�t gather in my lip lines and dried down quickly (but gave me enough time to maneuver along the edges of my lips). It was intensely pigmented and stayed on well for over six hours. The formula felt neither drying nor hydrating on me.",A
DOSE OF COLORS ,FRESA,Lipstick,"a bright, coral-red with subtle, warm undertones and a matte finish. The pigmentation was opaque in a single layer, while the texture was smooth, fluid, and a little thin�almost streaky when I initially applied it, but it seemed to self-level and smooth out when drying down. This shade lasted well for over six hours on me, left a stain behind, and was a touch drying toward the end of wear.",A
DOMINIQUE COSMETICS,LEMONADE,Palette,"a fun, summer palette that features six shimmery shades and four matte shades. The mattes were particularly impressive, while the shimmers were good with one being a slight miss for me (but workable). The majority of the eyeshadows had good pigmentation, were blendable, and lasted for eight hours.

Worth mentioning, this palette was originally released a couple of months ago, but there were numerous complaints with respect to a couple of the shimmers being very stiff/too firmly pressed, and the brand responded (quite quickly, actually) by going back and tweaking the press of the shimmer shades and then sending out replacement palettes to everyone who had ordered this palette (without requiring anyone to send their original palettes back). The shimmers in the replacement version were definitely softer and more yielding than the original palette. I was impressed by that level of customer service, though, and it was communicated very well throughout, from the initial information to follow-ups on ETAs and shipping notifications.",A-
URBAN DECAY,FREQUENCY,Lipstick,"a vibrant, medium-dark coral-red with warm undertones and a matte finish. It had buildable coverage from medium to full in three layers. The texture felt dense, clay-like (movable but not wet), and applied as a very lightweight, powder-like product on my lips. The color distributed evenly across my lips and didn�t seem to sit in my lip lines or emphasize my natural texture. This shade lasted well for six hours and didn�t seem to break down with water.",A
URBAN DECAY,HALO,Lipstick,"a light pink with subtle, cool undertones and a matte finish. It had sheer coverage that built up to medium with three to four layers. The texture was clay-like, where I could push it around, but it had a drier, more velvety feel to the touch. The lipstick applied as a thin, lightweight layer but this shade emphasized every bit of texture I had on my lips, and I could not get the color to apply evenly or build up to full coverage. It lasted for three hours and was non-drying, though it felt clingy while worn.
",D
LAURA MERCIER ,CHAI,Blush,"a medium, rosy mauve with warm undertones and a matte finish. It had sheer, buildable coverage�up to semi-opaque with three layers�with a thin, stiffer texture that was harder to pick up evenly with a brush and more challenging to apply and diffuse on my skin as the color didn�t spread or diffuse well. I found that it darkened noticeably after application, which can be an issue with thinner, matte powders. This shade stayed on well for eight hours on me before I noticed fading.",C+
URBAN DECAY,TONGUE TIED,Lipgloss,"a deep fuchsia pink with cool undertones and lighter pink and fuchsia sparkle. It had medium coverage that applied evenly and smoothly across my lips without settling into my lip lines. The gloss had a smooth, gel-like texture that wasn�t sticky and thin enough to feel lightweight but still comfortable. It stayed on well for four hours and was lightly moisturizing.",A
URBAN DECAY,APHRODISIAC,Lipgloss,"a medium brown with strong, warm orange undertones and sparkle that shifted from pink to teal. It tinted my natural lip color to appear warmer, peachier, and it delivered a moderate amount of shimmer/sparkle. It was an easy-to-wear gloss that didn�t pull into lip lines and made my lips appear smoother and plusher. It was described as �sheer,� so the coverage was as anticipated. The consistency was lightweight, smooth, and almost creamy initially with little tackiness. It wore well for three and a half hours and was hydrating while worn.",A
URBAN DECAY,GHOSTED,Lipgloss,"a nearly translucent base with multi-colored glitter. (The brand described it as a �sheer lavender,� and my eye can just barely see a purplish cast to the gloss when swatched.) The base brought out the pink tones in my natural lip slightly, but I don�t expect it to alter the natural lip color much since it was so sheer. There was noticeable sparkle, but it was sparser on my lips than it appeared in the tube. The texture was lightweight, smooth, and gel-like, which made it sit well on my lips but prone to wearing down within two and a half hours. I did feel the glitter in it after an hour of wear. The formula was lightly moisturizing over time.",B+
PAT MCGRATH,FLESH 5,Lipstick,"a deep, reddened plum with warm undertones and a satin finish. It was intensely pigmented with smooth, opaque color coverage in a single layer. It applied evenly and never tugged or dragged on my lips. The texture was smooth, velvety, and thick without being heavy and didn�t emphasize my lip lines. This shade stayed on well for seven hours and was lightly hydrating over time.",A+
PAT MCGRATH,FEVER DREAM,Lipstick,"a medium-dark coral-red with warm undertones and a satin finish. The pigmentation was opaque in a single layer, while the texture was smooth, velvety and creamy enough to glide on easily without feeling slippery while worn. The lip color wore down to a more matte finish within an hour of wear, and it seemed to smooth out the color, too, as there was a smidgen of product in my deeper lip lines after the initial application (though it wasn�t noticeable from a normal viewing distance). It wore well for six and a half hours and was moisturizing while worn.",A
DIOR,NUDE GLOW (001),Highlighter,"a soft, light peach with warm undertones and a luminous sheen. It was richly pigmented with a soft, smooth texture that was dense and more firmly-pressed, which ensured there was no dustiness, but it seemed a little more yielding to a brush compared to the other shades, so this was very easy to apply and blend out on my skin. The highlighter applied evenly to bare skin, didn�t emphasize my skin�s natural texture, and lasted for a solid eight and a half hours on me.",A
URBAN DECAY,APHRODISIAC,Palette,"a new, limited edition palette that features three mattes and three shimmers. Though, at a glance, it looked like it would work well together, but in practice, I struggled to apply the colors cohesively without the colors muddying together. It could have been, in part, due to the overall quality of the shades, which wasn�t impressive. The palette launches exclusively on Ulta today.",B-
PAT MCGRATH,CHRISTY,Lipstick,"a medium pink with strong, warm undertones and a cream finish. (It took two hours or so for the finish to look more matte.) It was intensely pigmented with a smooth, velvety texture that had slight slip but was dense and more substantial without feeling heavy on my lips. The lipstick applied evenly across my lips and never tugged on them. The color stayed on well for five hours and was moisturizing while worn.",A
PAT MCGRATH,BEAUTIFUL STRANGER,Lipstick,"a muted, medium pink-coral with warm undertones and a satin finish. It had opaque pigmentation with a smooth, velvety texture that was a little thicker than the average lipstick but it didn�t feel slippery or slide around on my lips after I applied it. The color went on evenly, but there was a bit of product that sank into my lip lines, though it didn�t worsen (it seemed to smooth out within three hours of wear as the slip wore away). This shade lasted well for six hours and was hydrating over time.",A
DOSE OF COLORS ,SOL MATE,Highlighter,"a medium-dark gold with warm undertones and a metallic sheen. The consistency was soft, smooth, and blendable with intense color coverage in a single layer. It was denser and more cream-like to the touch but picked up easily with a tapered highlighting brush�I was able to use a lighter hand for more medium coverage, too. The highlighter applied evenly to bare skin, blended out with ease, and sat well without emphasizing my skin�s natural texture. It wore well for eight and a half hours on me.

P.S. � Mine arrived broken but Dose of Colors will replace it.",A
DOSE OF COLORS ,BARELY THERE,Lipgloss,"a soft, light-medium peach with warm undertones and a cream finish with barely-there, fine gold pearl. The consistency was lightweight, comfortable to apply and to wear, as it was smooth without being thick or tacky. It had semi-opaque pigmentation that applied fairly evenly along the edges of my lips, but there was a faint amount of streaking and noticeable color in my lip lines�the latter not a big surprise given the lighter, creamier color choice. It lasted for three hours and was lightly hydrating.
",B-
DOSE OF COLORS ,BILLO,Lipgloss,"a sheer, slightly beige-tinted base with a moderate amount of gold micro-glitter. It had a good level of shine and the glitter dispersed well across my lips. There was something to the base, though, as I could see a smidgen of product in my deeper lip lines (looked almost like a milky beige). The texture was lightweight, non-sticky, and smooth overall, but I could feel some of the glitter when I pressed my lips together. It wore well for three hours and was lightly hydrating over time.",B+
URBAN DECAY,ECHO,Lipstick,"a medium-dark plum with subtle, cool undertones and a matte finish. It had buildable coverage from sheer to opaque in three layers. The texture felt clay-like in the pot, movable but not wet or creamy (like you might expect a potted lipstick to feel). It was thinner and felt like powder when patted onto my lips, and it felt a little clingy to me (which I didn�t enjoy, but it wasn�t actually drying) and did emphasize my lip texture a bit. It wore well for five hours and definitely survived drinking water.",B+
URBAN DECAY,FADE,Lipstick,"a medium, rosy brown with warm undertones and a matte finish. The pigmentation was buildable from sheer to mostly opaque coverage in three layers. The lipstick had a velvety, dense, and clay-like texture in the pot, which translated to a thin, more powder-like, very lightweight feeling on my lips. I found it felt a bit clingy, though it didn�t dry out my lips over time. The color applied evenly and blended out well, but the finish emphasied my lip lines a bit. It stayed on well for four and a half hours but water didn�t seem to break it down.",B+
CHANTECAILLE ,SUNLIGHT,Highlighter,"a soft orange with a sparkling, golden sheen. It had medium coverage, which was buildable to semi-opaque coverage, with fine shimmer that managed to sparkle and reflect light well but did not read glittery on my skin. The texture was drier to the touch and didn�t feel as �luxe� to the touch as I would expect at this price point, but it looked fantastic applied and blended out with ease in practice. It�s more like a highlighting bronzer (for some skin tones) than strictly a highlighter. The brand doesn�t offer much insight into coverage, only with respect to the finish (�beachy glow�). It wore well for eight hours on me before fading slightly.

P.S. � Please note the compact size/product size, as it is smaller than most highlighting products on the market.",B+
DOSE OF COLORS ,ILUVSARAHII,Palette,"a new, limited edition palette that includes six eyeshadows�three shimmers and three mattes (well, one is mostly matte!). It gave me beachy, summer vibes, and the six shades worked well together, and I could see at least a handful of other ideas from the shades. The shimmers and mattes blended well over and with each other, which isn�t always the case with more frosted, metallic shimmers like the ones in this palette.",A-
COLOUR POP,LUMIERE,Lipstick,"a medium mauve with subtle, cool undertones and a satin finish. It was richly pigmented with a smooth, lightly creamy texture that was lightly tacky on my lips. The color applied evenly across my lips without tugging. It wore well for five hours with a slight amount of product that pulled into my lip lines over time. The formula was neither drying nor hydrating on me.",A
COLOUR POP,LUMIERE 2,Lipstick,"a muted purple with warm undertones and a flat, matte finish. It was intensely pigmented with a fluid, creamy consistency that worked best if I wiped a bit of the product off from the lip of the tube before applying or else it was almost �too pigmented.� The liquid lipstick dried down within 30 seconds to a mostly matte finish which appeared �cracked� a bit when I smiled. The color stayed on well for over six hours but was slightly drying over time.",B+
ANASTASIA,ROSE GOLD,Highlighter,"a rich, reddish-copper with warm undertones and a metallic sheen. It was intensely pigmented with a smooth, spreadable, and gel-like texture that was easy to apply to bare skin and diffuse with fingertips or brushes. Over complexion products, it blended out best with a brush, which didn�t lift up my base, but fingertips seemed to be more prone to slight lifting (and normally, fingertips are my preferred tool for liquid highlighters). It had a stronger, more metallic sheen that didn�t smooth out my skin texture but did not accentuate it either (right on the line�if you have more texture, you may find it emphasizing!). It wore well for eight hour son me before fading slightly.",A-
CHANEL,QUINTESSENCE (440),Blush,"a medium pink with warmer undertones and a mostly matte finish. There was faint pearl I could see more in the pan than I could see in the swatch, and I didn�t notice any of it on my cheeks! It had medium, buildable pigmentation�and the brand markets their blushes as buildable�with a very finely-milled powder that was slightly powdery in the pan. It applied evenly and diffused well without having to work at it. The finish was definitely matte on my skin, and it did not seem to darken over time (which is an issue with some matte powders). On me, it wore well for eight hours before fading noticeably.",A-
DOSE OF COLORS ,BATHE,Highlighter,"a medium, rosy copper with warm undertones and a high-shine, metallic finish. It was richly pigmented with a smooth, creamy texture that was dense but not difficult to pick up product with using a brush. The powder applied evenly to my cheek bones and diffused easily without losing intensity. The finish was very shiny and reflective but did not seem to accentuate my skin�s natural texture. It wore well for eight and a half hours on me.",A+
NARS,WANTED,Palette,"a new, Ulta-exclusive six-shade set of lip glosses in shades of pink and brown. They have an autumnal vibe to me without being vampy, which I�d say makes them more �wearable� for more people. There are some repeats here, so anyone who�s picked up the singles or sets in the past may want to check their stash for duplicates. The quality was good, but a couple of shades weren�t quite as good as this formula can get.",B+
DIOR,HOLOGRAPHIC GLOW (006),Highlighter,"an iridescent blue-to-violet sheen with very finely-milled pearl that gave a noticeable shine on my skin and subtle, cooler tint. I find this type of highlighter works particularly well paired blushes in shades of pink, berry, and plum (though play around, it can create quite the transformative shift!). The consistency was dense, a bit firm to the touch, but very smooth and finely-milled. It was easiest to apply it using a moderate hand and a standard, tapered highlighting brush and build it up from medium coverage to semi-opaque pigmentation. This shade stayed on well for eight and a half hours on me before fading noticeably.",B+
NATASHA DENONA,LILA,Palette,"a fun color story, and for as edited as it is, actually came together cohesively for me. I would have liked to have seen the shimmery purple be a little creamier/thinner so it would layer better with the mattes more readily. The medium, warmer plum hue could have been more blendable over bare skin.",B+
HOURGLASS,AURA,Eyeshadow,"a medium copper with warm, rosy undertones and a sparkling sheen. It had sheer coverage applied in a single layer, and it was buildable to medium coverage in two to three layers. I tried to achieve opaque coverage with this shade and needed four layers and a dampened brush. My guess was that the drier, more flaky texture in the pot resulted in a consistency that was harder to pick up, apply, and blend out. It lasted for seven and a half hours on me with slight fallout over time.",C
HOURGLASS,BLAZE,Eyeshadow,"a medium-dark copper with warm, rusty red undertones and a sparkling sheen. It had medium coverage applied in one layer, which was buildable to opaque coverage with a second layer. The texture was smoother, lightly creamy, and thin without being too thin or too slippery on my skin, so it applied evenly and blended out well without losing its intensity. There was a touch of fallout when I blended it out on my lid, and then there was a little more after eight hours of wear.",A-
HOURGLASS,FOIL,Eyeshadow,"a light-medium copper with strong, warm golden undertones and a sparkling, metallic sheen. It had a stronger reflective quality to it than other shades, partially because it was one of the lighter/brighter hues, too. The texture was fairly smooth, lightly creamy, but it felt more like a powdery than a cream to me (almost like it was a little dried out already). It had medium coverage applied in a single layer, which was buildable to full coverage with two to three layers. I found this applied best with a dampened brush over fingertips or a dry brush. It wore well for eight hours with slight fallout over time.",B+
HOURGLASS,REFLECT,Eyeshadow,"a soft, rosy copper with warm undertones and a metallic sheen. It had semi-sheer pigmentation in a single layer, which was buildable to full coverage with two to three layers. The consistency was smooth, lightly creamy, and thin without being clingy or difficult to apply or blend out along the edges. The color stayed on well for eight and a half hours on me and didn�t seem to have any fallout.",A
HOURGLASS,SMOKE,Eyeshadow,"a medium taupe with warmer undertones and a sparkling, metallic finish. The eyeshadow had semi-sheer pigmentation in a single layer, which built up to full coverage with two to three layers. It had a smoother, lightly creamy texture that applied evenly to bare skin and blended out with little effort. On me, it lasted well for eight and a half hours before fading slightly. This shade had a minimal amount of fallout present at the end of wear.",A-
